source,interactions,pathways,diseases
EHD1,MICAL1,1,0
HSPA8,CXCR4,1,0
CHD4,SMARCA4,1,0
CHD3,KIF15,1,0
CEBPA,SMARCA4,1,0
KLK7,FUZ,1,0
RSG1,FUZ,1,0
CEBPB,SMARCA4,1,0
COL4A1,CXCR4,1,0
KLK3,PTHLH;PZP;SEMG1;SEMG2;EPOR;SERPINA5;SERPINA1;IGFBP3;PLG;SLPI;FN1;PIR;ZNF331;SCML1;PBK,1,0
CREB1,SMARCA4,1,0
FBN1,LTBP1,1,0
C4BPA,LRP1,1,0
TAB1,MICAL1;ZMYND11;TRPC4AP;ASRGL1;PTPMT1;NXPH3;GIT1;C9orf78;C2orf44;MTG2;PHACTR3;TAB2;CARD11;POLDIP2;MON1A;SNRNP35;KIFC2;LAP3;TAB3;ACAP3;ARAP1;LCMT1;XPO7;CORO1A;CDK5RAP3;KDELR3;IFT27;CXCL16,1,0
ANXA2,SMAD6,1,0
SCFD1,HECTD1,1,0
JAK1,CXCR4,1,0
JAK2,CXCR4;PKD1,1,0
JAK3,CXCR4,1,0
SMPD4,CFC1,1,0
PRR16,SEMA6A,1,0
CDX2,SMARCA4,1,0
DYNC2LI1,DYNC2H1,1,0
STAT5B,CXCR4,1,0
RFXAP,SMARCA4,1,0
RAB1A,MICAL1,1,0
GLDC,DNAI1,1,0
APOB,LRP2,1,0
PSKH1,SNTA1;RDH13;ST3GAL2;PSMB10,1,0
APOE,LRP1;LRP2,1,0
RAB28,CC2D2A,1,0
DYNC2H1,ANGPTL5,1,0
APOH,LRP2,1,0
H2AFX,SMARCA4,1,0
RAB25,DAW1,1,0
KRT18,PKD1,1,0
CCR5,CXCR4,1,0
CC2D2A,CPEB2;NCAPG,1,0
PIAS1,SUFU,1,0
RAB10,MICAL1,1,0
DBN1,TAB1,1,0
NEK2,IFT140,1,0
ELN,LOX,1,0
ADRBK2,CXCR4,1,0
CHEK1,PDE2A,1,0
CALR,LRP1,1,0
ACAT1,CXCR4,1,0
TMCC1,PLXND1,1,0
PLAGL1,ZBTB14,1,0
DNAAF3,LILRA5;SIGLEC14,1,0
BRIX1,C5orf42,1,0
CDC40,HACE1,1,0
C2orf44,DRC1,1,0
OLFM2,CCDC151,1,0
LAMTOR3,SUFU,1,0
LGALS3,SUFU,1,0
SMAD7,TAB1,1,0
SMAD6,SMURF1;STRAP;MAP3K7;TGFBR1;TOB1;SMURF2;TAB1;STAMBP;RNF111;SMAD7;MAPK6;RPS6KA5;PIK3R4;RAB11A;MYO1E;UACA;PIGB;PPIB,1,0
EPRS,TAB1,1,0
CELSR3,IFT140,1,0
SMAD1,SMAD6,1,0
CSRP2,LRP1,1,0
OR1F1,PKD1,1,0
HNRNPA1,SUFU,1,0
PTPN11,CXCR4,1,0
SEMA6A,SH3RF1;AQPEP;FAM170A,1,0
PAXIP1,DYNC2H1,1,0
ETS2,SMARCA4,1,0
QPRT,SUFU,1,0
RBPJ,SUFU,1,0
ENG,CNTRL,1,0
CLCN5,CXCR4,1,0
COX11,MICAL1,1,0
AP1B1,AMPH;AP2M1;ARRB2;ATR;AP1G1;ATF7IP;SMAD2;BUB1;BUB1B;SHBG;AP1M2;AP1M1;KIF13A;CLINT1;PRKDC;ATM;PIP5K1C;CREBBP;CLTC;ARF1;ARF5;ARF6;NTRK2;BARD1;FBXO7;PSME1;PARD3;ME1;PHF5A;TEX33;CYTH4;CDC42EP1,1,0
HIP1R,PRICKLE1,1,0
GLI2,SUFU,1,0
GLI3,SUFU,1,0
CANX,LRP1,1,0
GLI1,SUFU,1,0
CKB,TAB1;DNAH5,1,0
PDPK1,PKD1,1,0
FANCA,SMARCA4,1,0
IP6K2,KIF15,1,0
POGZ,KIF15,1,0
RAB4A,HACE1,1,0
LENG9,DNAAF3,1,0
RAB11FIP3,IFT140,1,0
C2orf16,DRC1,1,0
NPPB,SMARCA4,1,0
GADD45A,MICAL1,1,0
COL3A1,LRP2,1,0
ZBTB14,ZBTB21;COLEC12;KCNAB3;ASXL3;B4GALT6;TM9SF1;AP4B1,1,0
FKBP1A,FOXJ1,1,0
COL2A1,PKD1,1,0
SUFU,GLIS3;ZNF446;ZNF764;RCN3;PEX26;ZNF747;HDX;MID1IP1;EDA2R,1,0
ZFP36L2,LTBP1,1,0
SUMO1,CEP290;SEMA6A,1,0
APBA2,LRP2;LRP1,1,0
ACTL6A,SMARCA4,1,0
PEX10,SNX17,1,0
MAPK11,TAB1,1,0
NPR2,DNAI1,1,0
MAPK10,CEP290,1,0
STAT1,CXCR4,1,0
YWHAE,CXCL16,1,0
STAT3,CXCR4,1,0
POLR3D,TAB1,1,0
STAT2,CXCR4,1,0
YWHAG,TAB1;HECTD1,1,0
CD19,MICAL1,1,0
PPP1R7,TAB1,1,0
MAPK14,TAB1;ROBO1,1,0
PBX3,CNTRL,1,0
APBB1,LRP1;LRP2,1,0
VLDLR,SNX17,1,0
PLXNA2,HACE1,1,0
TSSC4,TAB1,1,0
GSTM1,CXCL16,1,0
GATA1,SMARCA4,1,0
HOXC8,SMAD6,1,0
CISD1,BICC1,1,0
LPA,LRP2,1,0
ROBO1,SLIT2;ROBO2;TUBB3;SRGAP2;SRGAP1;SLIT1;MYCBP,1,0
ANKRD50,SPATA5,1,0
LOX,HIST1H2BJ;DHDDS;HIST2H2BE;ZNF608;SNX24;ZNF202;NAMPT;MYL4,1,0
SLC4A1,ZBTB14,1,0
CIITA,SMARCA4,1,0
FOXN2,LTBP1,1,0
AHR,SMARCA4,1,0
IGSF1,HECTD1,1,0
SLC25A33,C1orf127,1,0
CAV1,LRP1,1,0
GRB2,MICAL1,1,0
CLU,LRP2,1,0
ITGB5,LTBP1,1,0
NEDD9,MICAL1,1,0
SRC,MICAL1,1,0
RBX1,TAB1,1,0
HOXA1,PCSK5,1,0
FOLR1,PDE2A,1,0
ALB,LRP2;KLK3,1,0
ITGB7,ZBTB14,1,0
SKIL,SNX17,1,0
PLXND1,SEMA4A;MACF1;PODXL2;ISY1;SEC61A1,1,0
RUNX2,SMAD6,1,0
FN1,PKD1;LTBP1;TAB1,1,0
SETDB1,SUFU,1,0
LPL,LRP1;LRP2,1,0
PTPN6,CXCR4,1,0
PTPN2,ZBTB14,1,0
SAP18,SUFU,1,0
EVL,SEMA6A,1,0
TSN,CFC1,1,0
BRCA1,SMARCA4,1,0
ITGA6,PCSK5,1,0
PRICKLE1,ARID2;ANO6,1,0
RAP1A,SMARCA4,1,0
CD79B,FOXJ1,1,0
PIP4K2A,ARMC4,1,0
PLEKHB2,CFC1,1,0
CXCR4,USP14;SOCS1;GNA13;ITCH;SOCS3;ATP13A2;DHX57;AGO3;SCAMP2;C2orf27B;FTO,1,0
CXCR6,CXCL16,1,0
URB1,TAB1,1,0
MSN,CFC1,1,0
PAK1,C5orf42,1,0
RANBP2,IFT140,1,0
PHC2,TAB1,1,0
FOXJ1,RPUSD1;NMRAL1;OIP5;TWF2;TRMT6;THRA;SLC37A3;GATA6;PRKCA;FBXO22;SMURF2;PECAM1;ATP10A,1,0
ELP6,KIF15,1,0
TMEM67,FAM92A1;NDUFAF6,1,0
AMH,PCSK5,1,0
EYA2,LOX,1,0
CD82,LRP1,1,0
CFL1,TAB1,1,0
TOM1,TAB1,1,0
PSME4,RPL23AP32;C2orf73,1,0
CTSG,CXCR4;LRP1,1,0
C5orf42,CAPSL;SPEF2;NADK2,1,0
XIAP,TAB1,1,0
CTNND2,DNAH5,1,0
DNAH5,TRIO;MVP;MYO10;MICAL1;RAN;TLE1;RBFOX2;6-Mar;LARGE,1,0
DNAI1,ATG10,1,0
KRT8,PKD1,1,0
ACAN,MMP20;MMP14;CTSB;ADAMTS1;TNR;LUM;MMP19;FBLN1;MMP1;MMP3;ADAMTS4;VCAN;FBLN2;ADAMTS5;MMP2;TNFAIP6;HAPLN1;MMP8;BLM;MAN2A2;SLCO3A1;IDH2;STARD5,1,0
PIK3R3,MICAL1,1,0
ZNF606,DNAAF3,1,0
GEMIN4,CXCL16,1,0
DPT,LOX,1,0
ACTB,SMARCA4,1,0
CENPO,DRC1,1,0
PTPRC,CXCR4,1,0
HPR,PSKH1,1,0
CYP4F3,SMARCA4,1,0
EVI5L,CCDC151,1,0
BMPR1B,SMAD6,1,0
LIPC,LRP1,1,0
IGFBP3,LTBP1,1,0
CRK,MICAL1,1,0
BMPR1A,TAB1,1,0
CSN2,NEK8,1,0
MUC16,CCDC151,1,0
SPTAN1,CNTRL,1,0
